from;to
25hours;VcA
AA;WHH
AA;care
AA;GTO
AA;ADRA
AA;arche
AA;ASB
AA;cbm
AA;help
AA;MI
AA;PD
AA;ToG
AA;WRD
AA;WV
AB;help
adb;BORDA
AgencedeLeauArtoisPicardie;WECF
AgenceFrancaisedeDeveloppement;WECF
AHC;WRD
Alexianer;am
ANEJVAD;DAHW
ApolloOptik;help
Apothekerkammer;am
APS;care
ARSAquitaine;WECF
ARSRhone;WECF
atd;IOG
AufwindNeueEnergien;WECF
AutohausHuelsemann;am
Aveda;VcA
AXA;care
AxelSpringer;WHH
BA;help
BBE;JU
Beeline;WHH
BergmannundFranz;GTO
BGSwasser;IOG
BlitzReisen;WHH
BMU;WECF
BMUB;WECF
BMZ;WHH
BMZ;care
BMZ;GTO
BMZ;ADRA
BMZ;arche
BMZ;BORDA
BMZ;cbm
BMZ;help
BMZ;MI
BMZ;ToG
BMZ;DAHW
BMZ;WIN
BMZ;WRD
BMZ;WV
Bornscheuer;IOG
BPRM;help
BR;JU
Brunel;IOG
BSH;IOG
Budni;WHH
BW;MI
CbG;GTO
CDFA;ToG
CDM;IOG
CEDB;help
CGValdeMarne;WECF
Chagas;DAHW
CoffeeCircle;WHH
Commerzbank;WHH
Commerzbank;care
Commerzbank;help
Commerzbank;JU
CommunauteDAgglomeration;WECF
Cook;WHH
COPLAN;IOG
CREADIS;IOG
CuroCon;IOG
CUStrasbourg;WECF
DBStiftung;help
DBU;WECF
DeutscheWelle;IOG
DFID;WHH
DGIS;WECF
DGIS;WIN
DiQual;IOG
DLA;cbm
DMEnvironment;WECF
Dorsch;IOG
DreesundSommer;IOG
DreiP;IOG
DRL;WRD
DrSchuhmacher;help
DutchReliefAlliance;WRD
EarthStaff;IOG
ECEnvironment;WECF
EGG;GTO
EGG;cbm
EGSplan;IOG
ElmosStiftung;IOG
EPC;IOG
EU;BORDA
EU;cbm
EU;help
EU;DAHW
EuropeAid;WHH
EuropeAid;ADRA
EuropeAid;arche
EuropeAid;help
EuropeAid;MI
EuropeAid;PD
EuropeAid;WECF
EVN;BORDA
FAO;WHH
FAO;ASB
FAO;help
FAO;ToG
FEDER;WECF
FedEx;am
FFL;DAHW
FOKUS;IOG
Freeletics;WHH
Freeletics;PD
FriedrichundLochner;IOG
Fromi;WHH
Frosta;PD
GDF;DAHW
GebruederWollenhaupt;PD
GesundheitsministeriumBurkina;help
GeuderAG;cbm
Geze;PD
goMatlab;IOG
Google;JU
GoogleGrants;GTO
GreinerGmbH;cbm
HansenundSoehne;PD
Hapeko;PD
HausDesStiftens;GTO
HealthCare;cbm
HeinemannMedizin;cbm
HelmutUhrigStrassen;PD
HeringManagement;GTO
HMF;care
HyderConsulting;IOG
IDEA;DAHW
IGMMessen;IOG
IKKG;cbm
ILA;DAHW
ILEP;DAHW
IngenieurbueroFischer;IOG
Inros;IOG
InternationalLeprosyUnionILUIndien;DAHW
Intewa;IOG
InvaCon;PD
IOM;ToG
IPSystems;IOG
Isar;IOG
IUATLD;DAHW
Jungheinrich;am
Kaiser;WHH
Kauke;IOG
KfW;WHH
KfW;cbm
Kleindiek;cbm
KNCV;DAHW
KnorrBremse;GTO
KrankenhausWaldfried;ADRA
KWest;IOG
Lahmeyer;IOG
Lausitzer;IOG
LBFLM;DAHW
LektoratGerlinde;IOG
LeonhardAndrae;IOG
LeonhardWeiss;IOG
LEZ;GTO
LikvidaceLepry;DAHW
Lindenwirt;IOG
LRI;DAHW
LSA;cbm
LUSH;GTO
Lycka;WHH
Madeleine;WHH
MagnaSteyr;JU
MALZWILZBeauty;PD
MarcCain;PD
MerckFamily;IOG
Mestermacher;WHH
Ministereetrangeres;WECF
MinistereJeunesse;WECF
MinistryEconocmic;WECF
MinistryEvNorway;WECF
MinistryEvSW;WECF
MinistryForeign;WECF
MinistryofHousing;WECF
MUCKINGENIEURE;IOG
MusikgruppeShaymani;PD
Nalco;IOG
NatracareUK;WECF
NextKraftwerke;IOG
Nickelodeon;PD
Nivea;PD
NORMA;PD
OCHA;WHH
Oertli;cbm
Olympus;PD
Osthus;care
OttoBockStiftung;JU
OuiGruppe;PD
PapierMettler;cbm
Payback;care
PEJA;WECF
PERI;IOG
PFEIFER;IOG
PI;help
Piepenbrock;PD
PippaundJean;PD
PlanInternationalKinder;PD
PrittundHenkel;PD
PROMECON;IOG
ProvinceOverjissel;WECF
RBS;PD
Rebelle;PD
Reishunger;care
RocheDiabetes;JU
RolfRonschke;IOG
RotaryClubBadOrb;IOG
RotaryClubBiedenkopf;IOG
RotaryClubGrafschaftMoers;IOG
RoyalNetherlands;WECF
RTL;care
RTL;JU
RTL;MI
RundHUmwelt;IOG
Santander;PD
SchenkerDeutschland;IOG
schlaich;IOG
Schleicher;PD
Schwarzkopf;PD
SchweizerBotschaftB;help
se;MI
se;WIN
seneos;IOG
SIDA;help
SIDA;WIN
Slido;GTO
SOFiSTiK;IOG
SopraSteria;IOG
soulproducts;VcA
SparkasseKrefeld;am
Staedtler;PD
STRATEC;PD
Sunshine;IOG
SWG;care
TAO;PD
Telekom;WHH
Telekom;help
Theobroma;WHH
TheologischeHochschule;ADRA
THW;JU
TransPack;cbm
TueVRheinland;IOG
TUI;PD
ukaid;MI
UNDP;ToG
UNEP;BORDA
UNFPA;care
UNFPA;help
unhabitat;BORDA
UNHCR;WHH
UNHCR;ADRA
UNHCR;help
UNHCR;PD
UNHCR;WRD
UNHCR;WV
UNICEF;arche
UNICEF;BORDA
UNICEF;help
UNICEF;MI
UNICEF;ToG
UNICEF;WRD
UNO;ADRA
UNOCHA;arche
UNOCHA;help
UNOCHA;WRD
UNWater;GTO
UPS;JU
USAID;WHH
USAID;ToG
USAID;WRD
VDW;IOG
VET;GTO
VetConcept;cbm
Vincotech;PD
Voelkel;PD
VolksbankKrefeld;am
VolksbankSchermbeck;PD
WaterChannel;WECF
WaterManagementAustria;WECF
Weihnachtsplaner;WHH
Werbealm;PD
WFB;BORDA
WFP;WHH
WFP;help
WFP;MI
WFP;PD
WFP;WV
WHO;help
WHO;MI
WHO;DAHW
WHO;WRD
WITRON;cbm
WVN;ADRA
XING;PD
YouGov;WHH
ZEISS;cbm
Zentiva;am
ZPP;IOG
