id,name,type,category
AA,Auswärtiges Amt,4,
ADH,Aktion Deutschland hilft,3,
APS,AP Sensing GmbH,2,
AXA,AXA,2,
AXA,AXA-Konzern,,
Beeline,Beeline,2,
Blitz-Reisen,Blitz-Reisen,2,
BMZ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung ,4,
Budni,Budnikowsky,2,
Coffee Circle,Coffee Circle,2,
Commerzbank,Commerzbank,2,
Cook,Thomas Cook AG,2,
DBS,Deutsche Bank Stifung,3,
DWA,"Deutsche Vereinigung für Wasserwirtschaft,Abwasser und Abfall",3,
ECHO,European Comission Humanitarian Aid Office,3,
Freeletics,Freeletics,2,
Fromi,Fromi,2,
GIZ,Deutsche Gesellschaft für internationale Zusammenarbeit ,3,
HMF,H&M Foundation ,,
Kaiser,Kaiser Biobrotbäckerei,2,
KfW,KfW Entwicklungsbank,2,
Lycka,Lycka,2,
Madeleine,Madeleine,2,
Mestermacher,Mestermacher Bäckerei,2,
Osthus,Osthus,,
Paypack,Payback,,
PSMH,Platz schaffen mit Herz,3,
Reishunger,Reishunger GmbH,,
RTL,,,
SWG,Sasha Waltz und Guests,2,
Telekom,Deutsche Telekom AG,2,
Theobroma,Theobroma,2,
UNFPA,Weltbevölkerungsfonds der Vereinten Nationen ,4,
VET,VET-Konzept,2,
Weihnachtsplaner,Weihnachtsplaner,2,
WFA,Water for All,3,
WHH,Welthungerhilfe,,
YouGov,YouGov,2,